z_m,initial_buoyancy_m_s-2,initial_passive_tracer,final_les_buoyancy_m_s-2,final_les_passive_tracer
-2.5500000000e+02,-7.0243063804e-04,-5.2221422388e-02,-7.0241502292e-04,-1.8799712060e+00
-2.5300000000e+02,-6.9843063804e-04,-5.2221422388e-02,-6.9843778404e-04,-1.8799712060e+00
-2.5100000000e+02,-6.9443063804e-04,-5.2221422388e-02,-6.9443267131e-04,-1.8799712060e+00
-2.4900000000e+02,-6.9043063804e-04,-5.2221422388e-02,-6.9042741483e-04,-1.8799712060e+00
-2.4700000000e+02,-6.8643063804e-04,-5.2221422388e-02,-6.8642612012e-04,-1.8799712060e+00
-2.4500000000e+02,-6.8243063804e-04,-5.2221422388e-02,-6.8242481758e-04,-1.8799712060e+00
-2.4300000000e+02,-6.7843063804e-04,-5.2221422388e-02,-6.7842319631e-04,-1.8799712060e+00
-2.4100000000e+02,-6.7443063804e-04,-5.2221422388e-02,-6.7442133209e-04,-1.8799712060e+00
-2.3900000000e+02,-6.7043063804e-04,-5.2221422388e-02,-6.7041914777e-04,-1.8799712060e+00
-2.3700000000e+02,-6.6643063804e-04,-5.2221422388e-02,-6.6641661185e-04,-1.8799712060e+00
-2.3500000000e+02,-6.6243063804e-04,-5.2221422388e-02,-6.6241370938e-04,-1.8799712060e+00
-2.3300000000e+02,-6.5843063804e-04,-5.2221422388e-02,-6.5841044588e-04,-1.8799712060e+00
-2.3100000000e+02,-6.5443063804e-04,-5.2221422388e-02,-6.5440685991e-04,-1.8799712060e+00
-2.2900000000e+02,-6.5043063804e-04,-5.2221422388e-02,-6.5040302941e-04,-1.8799712060e+00
-2.2700000000e+02,-6.4643063804e-04,-5.2221422388e-02,-6.4639907456e-04,-1.8799712060e+00
-2.2500000000e+02,-6.4243063804e-04,-5.2221422388e-02,-6.4239515484e-04,-1.8799712060e+00
-2.2300000000e+02,-6.3843063804e-04,-5.2221422388e-02,-6.3839145879e-04,-1.8799712060e+00
-2.2100000000e+02,-6.3443063804e-04,-5.2221422388e-02,-6.3438818635e-04,-1.8799712060e+00
-2.1900000000e+02,-6.3043063804e-04,-5.2221422388e-02,-6.3038552539e-04,-1.8799712060e+00
-2.1700000000e+02,-6.2643063804e-04,-5.2221422388e-02,-6.2638362530e-04,-1.8799712060e+00
-2.1500000000e+02,-6.2243063804e-04,-5.2221422388e-02,-6.2238257149e-04,-1.8799712060e+00
-2.1300000000e+02,-6.1843063804e-04,-5.2221422388e-02,-6.1838237645e-04,-1.8799712060e+00
