z_m,initial_u_m_s-1,initial_v_m_s-1,initial_buoyancy_m_s-2,initial_passive_tracer,final_les_u_m_s-1,final_les_v_m_s-1,final_les_buoyancy_m_s-2,final_les_passive_tracer
-2.5500000000e+02,-3.6349875268e-17,1.4817641380e-15,-7.0243063670e-04,-1.3055355597e-02,-9.0172836800e-07,1.7472963619e-07,-7.0240068006e-04,-1.8799712060e+00
-2.5300000000e+02,-2.9786276721e-16,1.4880816371e-15,-6.9843063879e-04,-1.3055355597e-02,-1.0013717101e-06,-6.7825409023e-08,-6.9844230382e-04,-1.8799712060e+00
-2.5100000000e+02,-7.0289950520e-16,1.5013668134e-15,-6.9443063840e-04,-1.3055355597e-02,-1.1612012518e-06,-4.4867856410e-07,-6.9443214068e-04,-1.8799712060e+00
-2.4900000000e+02,-1.2934642755e-15,1.5209746983e-15,-6.9043063804e-04,-1.3055355597e-02,-1.4123943581e-06,-1.0467629384e-06,-6.9042086783e-04,-1.8799712060e+00
-2.4700000000e+02,-2.0645316722e-15,1.5466553095e-15,-6.8643063804e-04,-1.3055355597e-02,-1.7799623405e-06,-1.9325990564e-06,-6.8641686070e-04,-1.8799712060e+00
-2.4500000000e+02,-2.9966220243e-15,1.5785528929e-15,-6.8243063804e-04,-1.3055355597e-02,-2.2913662264e-06,-3.1784920732e-06,-6.8241286496e-04,-1.8799712060e+00
-2.4300000000e+02,-4.0697689361e-15,1.6166694927e-15,-6.7843063804e-04,-1.3055355597e-02,-2.9851069709e-06,-4.8840873479e-06,-6.7840784858e-04,-1.8799712060e+00
-2.4100000000e+02,-5.2611207905e-15,1.6609457706e-15,-6.7443063804e-04,-1.3055355597e-02,-3.9158574198e-06,-7.1966143693e-06,-6.7440198263e-04,-1.8799712060e+00
-2.3900000000e+02,-6.5439388039e-15,1.7113473569e-15,-6.7043063804e-04,-1.3055355597e-02,-5.1562256673e-06,-1.0311697350e-05,-6.7039501253e-04,-1.8799712060e+00
-2.3700000000e+02,-7.8886293810e-15,1.7678410852e-15,-6.6643063804e-04,-1.3055355597e-02,-6.8023189579e-06,-1.4489040008e-05,-6.6638675917e-04,-1.8799712060e+00
-2.3500000000e+02,-9.2634010692e-15,1.8304131266e-15,-6.6243063804e-04,-1.3055355597e-02,-8.9802340566e-06,-2.0068565504e-05,-6.6237711391e-04,-1.8799712060e+00
-2.3300000000e+02,-1.0635268597e-14,1.8990757946e-15,-6.5843063804e-04,-1.3055355597e-02,-1.1853153258e-05,-2.7484909067e-05,-6.5836604848e-04,-1.8799712060e+00
-2.3100000000e+02,-1.1971183802e-14,1.9738756812e-15,-6.5443063804e-04,-1.3055355597e-02,-1.5628587675e-05,-3.7278122200e-05,-6.5435369141e-04,-1.8799712060e+00
-2.2900000000e+02,-1.3239252085e-14,2.0549005035e-15,-6.5043063804e-04,-1.3055355597e-02,-2.0564038924e-05,-5.0094270813e-05,-6.5034040276e-04,-1.8799712060e+00
-2.2700000000e+02,-1.4409950081e-14,2.1422842154e-15,-6.4643063804e-04,-1.3055355597e-02,-2.6968560977e-05,-6.6668451550e-05,-6.4632684565e-04,-1.8799712060e+00
-2.2500000000e+02,-1.5457254102e-14,2.2362099931e-15,-6.4243063804e-04,-1.3055355597e-02,-3.5197341495e-05,-8.7782677972e-05,-6.4231404716e-04,-1.8799712060e+00
-2.2300000000e+02,-1.6359601033e-14,2.3369109939e-15,-6.3843063804e-04,-1.3055355597e-02,-4.5638453287e-05,-1.1419295850e-04,-6.3830345029e-04,-1.8799712060e+00
-2.2100000000e+02,-1.7100615895e-14,2.4446690367e-15,-6.3443063804e-04,-1.3055355597e-02,-5.8699475882e-05,-1.4652546762e-04,-6.3429698283e-04,-1.8799712060e+00
-2.1900000000e+02,-1.7669560642e-14,2.5598114523e-15,-6.3043063804e-04,-1.3055355597e-02,-7.4814624465e-05,-1.8514881646e-04,-6.3029715309e-04,-1.8799712060e+00
-2.1700000000e+02,-1.8061488077e-14,2.6827066444e-15,-6.2643063804e-04,-1.3055355597e-02,-9.4478045819e-05,-2.3002682151e-04,-6.2630709522e-04,-1.8799712060e+00
-2.1500000000e+02,-1.8277101201e-14,2.8137587051e-15,-6.2243063804e-04,-1.3055355597e-02,-1.1822956623e-04,-2.8053201151e-04,-6.2233044603e-04,-1.8799712060e+00
-2.1300000000e+02,-1.8319949512e-14,2.9535407777e-15,-6.1843063804e-04,-1.3055355597e-02,-1.4654893622e-04,-3.3519231723e-04,-6.1837134332e-04,-1.8799712060e+00
-2.1100000000e+02,-1.8186793485e-14,3.1034810962e-15,-6.1443063804e-04,-1.3055355597e-02,-1.7980543229e-04,-3.9088413389e-04,-6.1443560378e-04,-1.8799712060e+00
-2.0900000000e+02,-1.7911521687e-14,3.2631469098e-15,-6.1043063804e-04,-1.3055355597e-02,-2.1680843717e-04,-4.4263755712e-04,-6.1052292269e-04,-1.8799712060e+00
-2.0700000000e+02,-1.7512800509e-14,3.4330494947e-15,-6.0643063804e-04,-1.3055355597e-02,-2.5653904618e-04,-4.8487463980e-04,-6.0663232478e-04,-1.8799712060e+00
-2.0500000000e+02,-1.7011182002e-14,3.6137170549e-15,-6.0243063804e-04,-1.3055355597e-02,-2.9783883010e-04,-5.1172365943e-04,-6.0275997957e-04,-1.8799712060e+00
-2.0300000000e+02,-1.6424101136e-14,3.8065522193e-15,-5.9843063804e-04,-1.3055355597e-02,-3.3915104829e-04,-5.1609571936e-04,-5.9889993000e-04,-1.8799712060e+00
-2.0100000000e+02,-1.5775984830e-14,4.0126510727e-15,-5.9443063804e-04,-1.3055355597e-02,-3.7791070466e-04,-4.9319600166e-04,-5.9504227776e-04,-1.8799712060e+00
-1.9900000000e+02,-1.5095790949e-14,4.2314773481e-15,-5.9043063804e-04,-1.3055355597e-02,-4.1135214962e-04,-4.4549123405e-04,-5.9117524959e-04,-1.8799712060e+00
-1.9700000000e+02,-1.4403795263e-14,4.4638385682e-15,-5.8643063804e-04,-1.3055355597e-02,-4.3603747619e-04,-3.7694380527e-04,-5.8728441225e-04,-1.8799712060e+00
-1.9500000000e+02,-1.3723309313e-14,4.7130714329e-15,-5.8243063804e-04,-1.3055355597e-02,-4.4610746386e-04,-2.9332268126e-04,-5.8335030318e-04,-1.8799712060e+00
-1.9300000000e+02,-1.3071541793e-14,4.9773707928e-15,-5.7843063804e-04,-1.3055355597e-02,-4.4162044449e-04,-2.0505680166e-04,-5.7938144537e-04,-1.8799712060e+00
